anime_id,Name,Score,Genres,Japanese name,Type,Episodes,Aired,Producers,Studios,Source,Duration,Rating,Ranked,Popularity,Favorites
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",ナルト,TV,220,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660,8,65586
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",ONE PIECE,TV,Unknown,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,Manga,24 min.,PG-13 - Teens 13 or older,95,31,126645
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",テニスの王子様,TV,178,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,675,1039,3124
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",リングにかけろ１,TV,12,"Oct 6, 2004 to Dec 15, 2004",Unknown,Toei Animation,Manga,25 min. per ep.,PG - Children,6493,7333,16
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625,514,5137
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC",Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844,1284,790
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896,823,3671
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",トリニティ・ブラッド,TV,24,"Apr 29, 2005 to Oct 28, 2005",Unknown,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2240,936,1479
28,Yakitate!! Japan,7.95,"Comedy, Shounen",焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609,1666,887
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",ジパング,TV,26,"Oct 8, 2004 to Apr 1, 2005","Marvelous, TBS",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1565,3985,152
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208,54,71308
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",新世紀エヴァンゲリオン劇場版 シト新生,Movie,1,15-Mar-97,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 44 min.,R - 17+ (violence & profanity),1742,833,588
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,1,19-Jul-97,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 27 min.,R+ - Mild Nudity,102,195,17811
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",剣風伝奇ベルセルク,TV,25,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,Manga,25 min. per ep.,R+ - Mild Nudity,108,301,18567
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",GHOST IN THE SHELL（攻殻機動隊）,Movie,1,18-Nov-95,"Bandai Visual, Kodansha",Production I.G,Manga,1 hr. 22 min.,R+ - Mild Nudity,236,265,10362
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",るろうに剣心―明治剣客浪漫譚―追憶編,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,Manga,30 min. per ep.,R - 17+ (violence & profanity),37,637,6111
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",るろうに剣心 -明治剣客浪漫譚-,TV,94,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,25 min. per ep.,PG-13 - Teens 13 or older,220,345,11236
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,1,20-Dec-97,"Fuji TV, Sony Music Entertainment",Gallop,Manga,1 hr. 31 min.,R - 17+ (violence & profanity),1397,2411,107
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA（アキラ）,Movie,1,16-Jul-88,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,R+ - Mild Nudity,333,197,9555
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687,940,1359
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",ああっ女神さまっ,OVA,5,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2226,2360,267
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116,1083,1124
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",天使禁猟区,OVA,3,"May 25, 2000 to Aug 25, 2000","Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,30 min. per ep.,R+ - Mild Nudity,6823,2419,215
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",機動天使エンジェリックレイヤー,TV,26,"Apr 1, 2001 to Sep 23, 2001",TV Tokyo Music,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2529,2232,290
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012,1465,458
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",アップルシード,Movie,1,17-Apr-04,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,1 hr. 45 min.,R - 17+ (violence & profanity),3206,1901,173
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",アークザラッド,TV,26,"Apr 5, 1999 to Sep 11, 1999","Sony Pictures Entertainment, Aniplex",Bee Train,Game,22 min. per ep.,R - 17+ (violence & profanity),5738,4259,17
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",アヴェンジャー,TV,13,"Oct 2, 2003 to Dec 25, 2003",Production I.G,"Bee Train, Xebec",Original,24 min. per ep.,R - 17+ (violence & profanity),8501,4073,21
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",ベック,TV,26,"Oct 7, 2004 to Mar 31, 2005","Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,25 min. per ep.,R - 17+ (violence & profanity),221,570,7038
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000","Youmex, Toshiba EMI",AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455,1886,389
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002","TBS, Pioneer LDC",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804,332,3859
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",クロノクルセイド,TV,24,"Nov 25, 2003 to Jun 10, 2004","Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120,742,2064
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,"Apr 3, 2003 to Sep 25, 2003",Kadokawa Shoten,Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761,891,1523
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",D.C.～ダ・カーポ～,TV,26,"Jul 5, 2003 to Dec 27, 2003","Lantis, King Records","feel., Zexcs",Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4589,1852,189
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",ディアーズ,TV,12,"Jul 11, 2004 to Sep 26, 2004","Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274,1146,391
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004","Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782,846,2074
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",ローゼンメイデン トロイメント,TV,12,"Oct 21, 2005 to Jan 27, 2006","Mellow Head, TBS",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1146,1479,516
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",あずまんが大王 THE ANIMATION,TV,26,"Apr 9, 2002 to Oct 1, 2002","Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,555,554,5181
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",バジリスク 甲賀忍法帖,TV,24,"Apr 13, 2005 to Sep 21, 2005","GDH, Kodansha, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1325,940,1467
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",ブラックキャット,TV,23,"Oct 7, 2005 to Mar 31, 2006","GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1965,622,1955
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",CLUSTER EDGE（クラスターエッジ）,TV,25,"Oct 5, 2005 to Mar 29, 2006","Bandai Visual, Imagine",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,6646,5061,13
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",フルメタル・パニック！,TV,24,"Jan 8, 2002 to Jun 18, 2002",Kadokawa Shoten,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146,322,4417
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003","Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452,571,2988
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",フルメタル パニック！The Second Raid,TV,13,"Jul 14, 2005 to Oct 20, 2005","Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),579,639,1358
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",学園アリス,TV,26,"Oct 30, 2004 to May 14, 2005","Aniplex, Sogo Vision",Group TAC,Manga,25 min. per ep.,G - All Ages,1158,1640,1613
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",蒼穹のファフナーDead Aggressor,TV,25,"Jul 5, 2004 to Dec 27, 2004","TV Tokyo Music, King Records",Xebec,Original,24 min. per ep.,PG-13 - Teens 13 or older,2348,2523,255
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",魔法少女リリカルなのは,TV,13,"Oct 3, 2004 to Dec 26, 2004","Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828,1550,1036
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",魔法少女リリカルなのは エース,TV,13,"Oct 2, 2005 to Dec 25, 2005","Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,551,2075,1014
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",SHUFFLE! (シャッフル!),TV,24,"Jul 8, 2005 to Jan 6, 2006","Xebec, Lantis, Memory-Tech",Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231,600,1572
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",機動戦士ガンダム,TV,43,"Apr 7, 1979 to Jan 26, 1980","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867,1427,1787
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",機動戦士ガンダム 第08MS小隊,OVA,12,"Jan 25, 1996 to Jul 25, 1999",Atelier Musa,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,511,1948,911
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",機動戦士ガンダム 0080 ポケットの中の戦争,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Bandai Visual,Sunrise,Original,27 min. per ep.,PG-13 - Teens 13 or older,677,2444,717
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Movie,1,1-Aug-98,"Sotsu, Atelier Musa",Sunrise,Original,52 min.,PG-13 - Teens 13 or older,4498,4660,3
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",機動戦士ガンダム0083 STARDUST MEMORY,OVA,13,"May 23, 1991 to Sep 24, 1992",Bandai Visual,Sunrise,Original,30 min. per ep.,PG-13 - Teens 13 or older,2361,2791,230
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",機動戦士Ζガンダム,TV,50,"Mar 2, 1985 to Feb 22, 1986","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,655,2159,1721
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",機動戦士ガンダムZZ,TV,47,"Mar 1, 1986 to Jan 31, 1987","Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,5111,2941,130
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",機動戦士ガンダム 逆襲のシャア,Movie,1,12-Mar-88,"Sotsu, Nozomi Entertainment, Atelier Musa","Sunrise, Studio Hibari",Novel,1 hr. 59 min.,PG-13 - Teens 13 or older,1084,2773,293
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",機動戦士ガンダムＦ91,Movie,1,16-Mar-91,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,Unknown,2 hr.,PG-13 - Teens 13 or older,5049,3387,63
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",機動戦士Vガンダム,TV,51,"Apr 2, 1993 to Mar 25, 1994","TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,4632,3588,95
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",新機動戦記ガンダムW,TV,49,"Apr 7, 1995 to Mar 29, 1996",TV Asahi,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,984,1118,2538
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",新機動戦記ガンダムW エンドレス・ワルツ,OVA,3,"Jan 25, 1997 to Jul 25, 1997","Bandai Visual, Sotsu",Sunrise,Original,30 min. per ep.,PG-13 - Teens 13 or older,897,2512,221
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",機動新世紀ガンダムX,TV,39,"Apr 5, 1996 to Dec 28, 1996","TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2228,3043,189
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",機動戦士ガンダムSEED,TV,50,"Oct 5, 2002 to Sep 27, 2003","Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),850,1057,3584
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",機動戦士ガンダムSEED DESTINY,TV,50,"Oct 9, 2004 to Oct 1, 2005","Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),2687,1530,1206
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ガンダム,TV,50,"Apr 9, 1999 to Apr 14, 2000","Sotsu, Fuji TV","Sunrise, Nakamura Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,1018,2714,760
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",機動武闘伝Gガンダム,TV,49,"Apr 1, 1994 to Mar 31, 1995","TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1396,2109,896
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",LAST EXILE（ラストエグザイル）,TV,26,"Apr 8, 2003 to Sep 30, 2003","GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,24 min. per ep.,PG-13 - Teens 13 or older,795,995,1848
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",舞-HiME,TV,26,"Sep 30, 2004 to Mar 31, 2005","Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1698,1381,1262
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",舞-乙HiME,TV,26,"Oct 7, 2005 to Mar 31, 2006","Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2308,2370,333
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",新白雪姫伝説プリーティア,TV,13,"Apr 4, 2001 to Jun 27, 2001","Kadokawa Shoten, Rondo Robe",Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2785,2162,457
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",AIR,TV,12,"Jan 7, 2005 to Mar 25, 2005","Pony Canyon, TBS, Movic",Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,2230,563,2704
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",愛してるぜ ベイベ★★,TV,26,"Apr 3, 2004 to Oct 9, 2004","Animax, Toei Video, Sunny Side Up",TMS Entertainment,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1634,1529,571
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",赤ずきんチャチャ,TV,74,"Jan 7, 1994 to Jun 30, 1995","Nihon Ad Systems, Shueisha",Gallop,Manga,24 min. per ep.,G - All Ages,1941,4551,88
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",妖しのセレス,TV,24,"Apr 20, 2000 to Sep 28, 2000",Bandai Visual,Studio Pierrot,Manga,21 min. per ep.,R - 17+ (violence & profanity),2641,2182,535
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",ボーイズ・ビー,TV,13,"Apr 11, 2000 to Jul 4, 2000",Unknown,Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6088,3665,41
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",花より男子,TV,51,"Sep 8, 1996 to Aug 31, 1997",Unknown,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1027,2293,762
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",王ドロボウ JING,TV,13,"May 15, 2002 to Aug 14, 2002",Aniplex,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2625,2817,210
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",王ドロボウ JING in Seventh Heaven,OVA,3,"Jan 21, 2004 to Apr 28, 2004",Aniplex,Studio Deen,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2367,4619,29
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",爆裂天使,TV,24,"Apr 7, 2004 to Sep 15, 2004","GDH, TV Asahi, Imagica",Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,4381,1965,257
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",中華一番,TV,52,"Apr 27, 1997 to Sep 13, 1998",Unknown,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1195,4086,107
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",コレクター・ユイ,TV,52,"Apr 9, 1999 to Oct 20, 2000","NHK, Studio Tron",Nippon Animation,Original,25 min. per ep.,PG - Children,4318,4519,50
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",超変身コス∞プレイヤー,TV,8,"Jan 12, 2004 to Mar 1, 2004",m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,PG-13 - Teens 13 or older,10648,5542,5
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",宇宙のステルヴィア,TV,26,"Apr 3, 2003 to Sep 25, 2003","Starchild Records, TV Tokyo Music",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,1980,3577,127
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",魁!! クロマティ高校,TV,26,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,Production I.G,Manga,12 min. per ep.,PG-13 - Teens 13 or older,631,1279,1561
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",異次元の世界エルハザード,TV,13,"Jan 8, 1998 to Mar 26, 1998",Pioneer LDC,AIC,Original,25 min. per ep.,PG-13 - Teens 13 or older,4315,4961,10
